0 0 200_ 11111 
41768 25.51 69.78 10 20010530_21
41768 25.51 69.78 10 20010530_9
41768 25.51 69.78 10010 20010530_3
41768 25.51 69.78 1010 20010530_0
41768 25.51 69.78 1010 20010530_12
41768 25.51 69.78 1010 20010531_0
41768 25.51 69.78 110 20010530_6
41780 24.89 67.13 10 20010530_15
41780 24.89 67.13 10 20010530_18
41780 24.89 67.13 10 20010530_21
41780 24.89 67.13 10 20010530_3
41780 24.89 67.13 10 20010530_9
41780 24.89 67.13 1010 20010530_0
41780 24.89 67.13 1010 20010530_12
41780 24.89 67.13 1010 20010531_0
41780 24.89 67.13 110 20010530_6
41785 24.63 68.9 10 20010530_15
41785 24.63 68.9 10 20010530_18
41785 24.63 68.9 10 20010530_21
41785 24.63 68.9 10 20010530_9
41785 24.63 68.9 10010 20010530_3
41785 24.63 68.9 1010 20010530_0
41785 24.63 68.9 1010 20010530_12
41785 24.63 68.9 1010 20010531_0
41785 24.63 68.9 110 20010530_6
41858 25.75 88.91 10000 20010530_18
41858 25.75 88.91 10000 20010530_6
41858 25.75 88.91 10000 20010531_0
41858 25.75 88.91 10010 20010530_15
41858 25.75 88.91 10010 20010530_3
41858 25.75 88.91 10010 20010530_9
41858 25.75 88.91 11000 20010530_0
41858 25.75 88.91 11000 20010530_12
41859 25.73 89.23 10000 20010530_18
41859 25.73 89.23 10000 20010530_6
41859 25.73 89.23 10000 20010531_0
41859 25.73 89.23 10010 20010530_15
41859 25.73 89.23 10010 20010530_21
41859 25.73 89.23 10010 20010530_3
41859 25.73 89.23 10010 20010530_9
41859 25.73 89.23 11000 20010530_0
41859 25.73 89.23 11000 20010530_12
41863 25.64 88.68 0 20010530_6
41863 25.64 88.68 10000 20010530_18
41863 25.64 88.68 10000 20010531_0
41863 25.64 88.68 10010 20010530_15
41863 25.64 88.68 10010 20010530_21
41863 25.64 88.68 10010 20010530_3
41863 25.64 88.68 10010 20010530_9
41863 25.64 88.68 11000 20010530_0
41883 24.85 89.36 10000 20010530_18
41883 24.85 89.36 10000 20010530_6
41883 24.85 89.36 10001 20010531_0
41883 24.85 89.36 10010 20010530_15
41883 24.85 89.36 10010 20010530_21
41883 24.85 89.36 10010 20010530_3
41883 24.85 89.36 10010 20010530_9
41883 24.85 89.36 11000 20010530_0
41883 24.85 89.36 11000 20010530_12
41886 24.71 90.43 0 20010530_3
41886 24.71 90.43 10000 20010530_18
41886 24.71 90.43 10000 20010530_6
41886 24.71 90.43 10010 20010530_9
41886 24.71 90.43 11000 20010530_0
41886 24.71 90.43 11000 20010530_12
41891 24.89 91.88 1000 20010530_12
41891 24.89 91.88 10000 20010530_18
41891 24.89 91.88 10000 20010530_6
41891 24.89 91.88 10000 20010531_0
41891 24.89 91.88 10010 20010530_15
41891 24.89 91.88 10010 20010530_21
41891 24.89 91.88 10010 20010530_3
41891 24.89 91.88 10010 20010530_9
41891 24.89 91.88 11000 20010530_0
41895 24.36 88.69 0 20010530_21
41895 24.36 88.69 10000 20010530_18
41895 24.36 88.69 10000 20010530_6
41895 24.36 88.69 10010 20010530_15
41895 24.36 88.69 10010 20010530_3
41895 24.36 88.69 11000 20010530_0
41895 24.36 88.69 11000 20010530_12
41895 24.36 88.69 11000 20010531_0
41907 24.13 89.05 1000 20010530_12
41907 24.13 89.05 10000 20010530_18
41907 24.13 89.05 10000 20010530_6
41907 24.13 89.05 10000 20010531_0
41907 24.13 89.05 10010 20010530_15
41907 24.13 89.05 10010 20010530_21
41907 24.13 89.05 10010 20010530_3
41907 24.13 89.05 10010 20010530_9
41907 24.13 89.05 11000 20010530_0
41915 24.29 91.73 10000 20010530_18
41915 24.29 91.73 10010 20010530_0
41915 24.29 91.73 10010 20010530_15
41915 24.29 91.73 10010 20010530_21
41915 24.29 91.73 10010 20010530_3
41915 24.29 91.73 10010 20010530_6
41915 24.29 91.73 10010 20010530_9
41915 24.29 91.73 11000 20010530_12
41915 24.29 91.73 11000 20010531_0
41923 23.76 90.38 0 20010530_3
41923 23.76 90.38 10000 20010530_18
